external_gene_name
ENSG00000004487	KDM1A
ENSG00000226944	AL031847.1
ENSG00000226969	AL391845.1
ENSG00000227001	NBPF2P
ENSG00000227066	Z98257.1
ENSG00000227232	WASH7P
ENSG00000227372	TP73-AS1
ENSG00000227634	LINC01714
ENSG00000227751	RCC2-AS1
ENSG00000227775	AL031282.1
ENSG00000227868	TEX46
ENSG00000227875	RPL23AP89
ENSG00000227950	AL590128.1
ENSG00000227959	AL451042.2
ENSG00000228140	AL031283.1
ENSG00000228150	AL357140.2
ENSG00000228327	AL669831.1
ENSG00000228397	LINC01635
ENSG00000228423	AL357552.3
ENSG00000228463	AP006222.1
ENSG00000228526	MIR34AHG
ENSG00000228549	BX284668.2
ENSG00000228594	FNDC10
ENSG00000228750	LINC01672
ENSG00000228794	LINC01128
ENSG00000229280	EEF1DP6
ENSG00000229305	AL358876.1
ENSG00000229344	MTCO2P12
ENSG00000229716	RPL23AP19
ENSG00000230021	AL669831.3
ENSG00000230068	CDC42-IT1
ENSG00000230092	AL669831.4
ENSG00000230337	EXOSC10-AS1
ENSG00000230415	LINC01786
ENSG00000230424	EMC1-AS1
ENSG00000230679	ENO1-AS1
ENSG00000230699	AL645608.2
ENSG00000231050	AL109917.1
ENSG00000231181	AL954705.1
ENSG00000231510	LINC02782
ENSG00000231702	AL645608.3
ENSG00000231789	PIK3CD-AS2
ENSG00000231868	AL031848.1
ENSG00000232037	AL590556.1
ENSG00000232208	AL139415.1
ENSG00000232423	PRAMEF6
ENSG00000232912	RERE-AS1
ENSG00000233072	RPS15AP6
ENSG00000233421	LINC01783
ENSG00000233431	LINC02596
ENSG00000233485	FHAD1-AS1
ENSG00000233542	AL391845.2
ENSG00000233645	AL358876.2
ENSG00000233653	CICP7
ENSG00000233929	MT1XP1
ENSG00000233954	UQCRHL
ENSG00000234396	AL590822.1
ENSG00000234546	LNCTAM34A
ENSG00000235084	CHCHD2P6
ENSG00000235098	ANKRD65
ENSG00000235146	AC114498.1
ENSG00000235169	SMIM1
ENSG00000235185	AL031727.2
ENSG00000235241	BX284668.4
ENSG00000235282	DYNLL1P3
ENSG00000235432	AL663074.2
ENSG00000235434	AL391883.1
ENSG00000235643	LINC01647
ENSG00000235829	TBCAP2
ENSG00000236073	AL627311.1
ENSG00000236216	PPP1R11P1
ENSG00000236266	Z98884.1
ENSG00000236423	LINC01134
ENSG00000236698	EIF1AXP1
ENSG00000236936	AL031005.1
ENSG00000236948	AL365255.1
ENSG00000236963	LINC01141
ENSG00000237058	MMEL1-AS1
ENSG00000237094	AL732372.2
ENSG00000237276	ANO7L1
ENSG00000237301	AL121992.1
ENSG00000237330	RNF223
ENSG00000237402	CAMTA1-IT1
ENSG00000237436	CAMTA1-DT
ENSG00000237491	LINC01409
ENSG00000237938	AL450998.3
ENSG00000237973	MTCO1P12
ENSG00000238142	BX284668.5
ENSG00000238173	RPL39P6
ENSG00000238199	UBE2V2P3
ENSG00000238260	AL513320.1
ENSG00000238290	AL034417.3
ENSG00000239149	SNORA59A
ENSG00000240409	MTATP8P1
ENSG00000240490	RN7SL277P
ENSG00000240731	AL139287.1
ENSG00000241180	AL645608.4
ENSG00000241326	AL603962.1
ENSG00000241563	CORT
ENSG00000242485	MRPL20
ENSG00000242590	AL645608.5
ENSG00000243267	RN7SL614P
ENSG00000243485	MIR1302-2HG
ENSG00000244038	DDOST
ENSG00000248333	CDK11B
ENSG00000248527	MTATP6P1
ENSG00000251503	CENPS-CORT
ENSG00000251866	SCARNA21B
ENSG00000251977	RNU6-991P
ENSG00000252417	RNU7-179P
ENSG00000253022	RNU6-731P
ENSG00000259961	AL354712.1
ENSG00000260179	AL162741.1
ENSG00000261781	LINC01654
ENSG00000263676	MIR4632
ENSG00000264293	RN7SL657P
ENSG00000264501	RN7SL731P
ENSG00000265521	MIR5697
ENSG00000265606	MIR4695
ENSG00000266075	RN7SL574P
ENSG00000268020	OR4G4P
ENSG00000268575	AL031282.2
ENSG00000268869	ESPNP
ENSG00000269737	AL691432.1
ENSG00000269896	AL513477.1
ENSG00000270136	MICOS10-NBL1
ENSG00000270330	AL009183.1
ENSG00000270728	AL035413.1
ENSG00000271264	MZT1P1
ENSG00000271742	AL121992.2
ENSG00000271746	AL031848.2
ENSG00000271806	AL590822.2
ENSG00000271895	AL109811.2
ENSG00000271989	AL139424.1
ENSG00000272004	FO704657.1
ENSG00000272078	AL139423.1
ENSG00000272084	AL137127.1
ENSG00000272088	AL512413.1
ENSG00000272106	AL691432.2
ENSG00000272153	AL365330.1
ENSG00000272161	AL589739.1
ENSG00000272235	AL590438.1
ENSG00000272420	AL513477.2
ENSG00000272426	BX284668.6
ENSG00000272438	AL645608.6
ENSG00000272449	AL139246.5
ENSG00000272455	AL391244.2
ENSG00000272482	AC254633.1
ENSG00000272512	AL645608.7
ENSG00000274258	MIR6728
ENSG00000275774	HNRNPCL2
ENSG00000276747	PADI6
ENSG00000276830	MIR6730
ENSG00000276869	MIR6729
ENSG00000277234	RNU1-5P
ENSG00000277344	RNU1-6P
ENSG00000277726	AL109811.3
ENSG00000278073	MIR6726
ENSG00000278124	RN7SL186P
ENSG00000278267	MIR6859-1
ENSG00000278791	AC114498.2
ENSG00000279169	PRAMEF13
ENSG00000279457	WASH9P
ENSG00000280114	AL021920.2
ENSG00000280222	AL365209.1
ENSG00000283234	AL590556.2
ENSG00000283611	TMEM274P
ENSG00000283712	MIR6727
ENSG00000283773	AL137798.3
ENSG00000283789	MIR7846
ENSG00000284005	MIR6084
ENSG00000284332	MIR1302-2
ENSG00000284357	MIR34A
ENSG00000284372	MIR6808
ENSG00000284616	AL139823.1
ENSG00000284642	AL139424.2
ENSG00000284646	AL031291.1
ENSG00000284668	LINC02780
ENSG00000284693	LINC02606
ENSG00000284708	AL031731.1
ENSG00000284716	AL034417.4
ENSG00000284735	AL139424.3
ENSG00000284740	AL645728.2
ENSG00000284747	AL034417.5
ENSG00000285268	AL669831.6
ENSG00000285629	AL031847.2
ENSG00000285646	AL021155.4
ENSG00000285701	AL357140.4
ENSG00000285752	CDC42-AS1
ENSG00000285794	AL031281.1
ENSG00000285812	AL390719.3
ENSG00000285873	AL445253.1
ENSG00000285945	AC242022.2
ENSG00000285959	AL590556.3
ENSG00000000938	FGR
ENSG00000001460	STPG1
ENSG00000001461	NIPAL3
ENSG00000004455	AK2
ENSG00000007968	E2F2
ENSG00000009780	FAM76A
ENSG00000010803	SCMH1
ENSG00000011007	ELOA
ENSG00000011009	LYPLA2
ENSG00000020129	NCDN
ENSG00000020633	RUNX3
ENSG00000025800	KPNA6
ENSG00000043514	TRIT1
ENSG00000044012	GUCA2B
ENSG00000049089	COL9A2
ENSG00000054116	TRAPPC3
ENSG00000054118	THRAP3
ENSG00000057757	PITHD1
ENSG00000060642	PIGV
ENSG00000060656	PTPRU
ENSG00000060688	SNRNP40
ENSG00000065978	YBX1
ENSG00000066136	NFYC
ENSG00000066185	ZMYND12
ENSG00000084070	SMAP2
ENSG00000084072	PPIE
ENSG00000084073	ZMPSTE24
ENSG00000084623	EIF3I
ENSG00000084628	NKAIN1
ENSG00000084636	COL16A1
ENSG00000084652	TXLNA
ENSG00000088280	ASAP3
ENSG00000090020	SLC9A1
ENSG00000090273	NUDC
ENSG00000090621	PABPC4
ENSG00000092847	AGO1
ENSG00000092850	TEKT2
ENSG00000092853	CLSPN
ENSG00000116329	OPRD1
ENSG00000116350	SRSF4
ENSG00000116353	MECR
ENSG00000116478	HDAC1
ENSG00000116497	S100PBP
ENSG00000116514	RNF19B
ENSG00000116525	TRIM62
ENSG00000116544	DLGAP3
ENSG00000116560	SFPQ
ENSG00000116819	TFAP2E
ENSG00000116863	ADPRS
ENSG00000116871	MAP7D1
ENSG00000116885	OSCP1
ENSG00000116898	MRPS15
ENSG00000116922	C1orf109
ENSG00000116954	RRAGC
ENSG00000116981	NT5C1A
ENSG00000116983	HPCAL4
ENSG00000116985	BMP8B
ENSG00000116990	MYCL
ENSG00000117000	RLF
ENSG00000117010	ZNF684
ENSG00000117013	KCNQ4
ENSG00000117016	RIMS3
ENSG00000117305	HMGCL
ENSG00000117308	GALE
ENSG00000117318	ID3
ENSG00000117385	P3H1
ENSG00000117602	RCAN3
ENSG00000117614	SYF2
ENSG00000117616	RSRP1
ENSG00000117632	STMN1
ENSG00000117640	MTFR1L
ENSG00000117643	MAN1C1
ENSG00000117676	RPS6KA1
ENSG00000117682	DHDDS
ENSG00000117713	ARID1A
ENSG00000117748	RPA2
ENSG00000117751	PPP1R8
ENSG00000117758	STX12
ENSG00000119535	CSF3R
ENSG00000120656	TAF12
ENSG00000121753	ADGRB2
ENSG00000121764	HCRTR1
ENSG00000121766	ZCCHC17
ENSG00000121769	FABP3
ENSG00000121774	KHDRBS1
ENSG00000121775	TMEM39B
ENSG00000121900	TMEM54
ENSG00000121903	ZSCAN20
ENSG00000121904	CSMD2
ENSG00000121905	HPCA
ENSG00000125944	HNRNPR
ENSG00000125945	ZNF436
ENSG00000126067	PSMB2
ENSG00000126070	AGO3
ENSG00000126698	DNAJC8
ENSG00000126705	AHDC1
ENSG00000126709	IFI6
ENSG00000127124	HIVEP3
ENSG00000127125	PPCS
ENSG00000127129	EDN2
ENSG00000127423	AUNIP
ENSG00000127603	MACF1
ENSG00000130695	CEP85
ENSG00000130766	SESN2
ENSG00000130768	SMPDL3B
ENSG00000130770	ATP5IF1
ENSG00000130772	MED18
ENSG00000130775	THEMIS2
ENSG00000131233	GJA9
ENSG00000131236	CAP1
ENSG00000131238	PPT1
ENSG00000131914	LIN28A
ENSG00000133226	SRRM1
ENSG00000134644	PUM1
ENSG00000134668	SPOCD1
ENSG00000134684	YARS1
ENSG00000134686	PHC2
ENSG00000134690	CDCA8
ENSG00000134697	GNL2
ENSG00000134698	AGO4
ENSG00000142661	MYOM3
ENSG00000142669	SH3BGRL3
ENSG00000142675	CNKSR1
ENSG00000142676	RPL11
ENSG00000142684	ZNF593
ENSG00000142686	C1orf216
ENSG00000142687	KIAA0319L
ENSG00000142694	EVA1B
ENSG00000142698	C1orf94
ENSG00000142733	MAP3K6
ENSG00000142748	FCN3
ENSG00000142751	GPN2
ENSG00000142765	SYTL1
ENSG00000142784	WDTC1
ENSG00000142910	TINAGL1
ENSG00000142920	AZIN2
ENSG00000146463	ZMYM4
ENSG00000157978	LDLRAP1
ENSG00000158006	PAFAH2
ENSG00000158008	EXTL1
ENSG00000158014	SLC30A2
ENSG00000158022	TRIM63
ENSG00000158055	GRHL3
ENSG00000158062	UBXN11
ENSG00000158156	XKR8
ENSG00000158161	EYA3
ENSG00000158195	WASF2
ENSG00000158246	TENT5B
ENSG00000158315	RHBDL2
ENSG00000159023	EPB41
ENSG00000160050	CCDC28B
ENSG00000160051	IQCC
ENSG00000160055	TMEM234
ENSG00000160058	BSDC1
ENSG00000160062	ZBTB8A
ENSG00000160094	ZNF362
ENSG00000160097	FNDC5
ENSG00000162419	GMEB1
ENSG00000162430	SELENON
ENSG00000162510	MATN1
ENSG00000162511	LAPTM5
ENSG00000162512	SDC3
ENSG00000162517	PEF1
ENSG00000162520	SYNC
ENSG00000162521	RBBP4
ENSG00000162522	KIAA1522
ENSG00000162526	TSSK3
ENSG00000163866	SMIM12
ENSG00000163867	ZMYM6
ENSG00000163873	GRIK3
ENSG00000163874	ZC3H12A
ENSG00000163875	MEAF6
ENSG00000163877	SNIP1
ENSG00000163879	DNALI1
ENSG00000163909	HEYL
ENSG00000164002	EXO5
ENSG00000164007	CLDN19
ENSG00000164008	C1orf50
ENSG00000164010	ERMAP
ENSG00000164011	ZNF691
ENSG00000168389	MFSD2A
ENSG00000168528	SERINC2
ENSG00000168653	NDUFS5
ENSG00000169218	RSPO1
ENSG00000169403	PTAFR
ENSG00000169442	CD52
ENSG00000169504	CLIC4
ENSG00000169641	LUZP1
ENSG00000171790	SLFNL1
ENSG00000171793	CTPS1
ENSG00000171812	COL8A2
ENSG00000171960	PPIH
ENSG00000172746	RPL12P13
ENSG00000174574	AKIRIN1
ENSG00000174950	CD164L2
ENSG00000175087	PDIK1L
ENSG00000175130	MARCKSL1
ENSG00000175707	KDF1
ENSG00000175793	SFN
ENSG00000176083	ZNF683
ENSG00000176092	CRYBG2
ENSG00000176261	ZBTB8OS
ENSG00000177181	RIMKLA
ENSG00000177868	SVBP
ENSG00000179163	FUCA1
ENSG00000179546	HTR1D
ENSG00000179862	CITED4
ENSG00000180098	TRNAU1AP
ENSG00000180198	RCC1
ENSG00000181773	GPR3
ENSG00000181817	LSM10
ENSG00000182749	PAQR7
ENSG00000182866	LCK
ENSG00000183317	EPHA10
ENSG00000183386	FHL3
ENSG00000183431	SF3A3
ENSG00000183520	UTP11
ENSG00000183615	FAM167B
ENSG00000183682	BMP8A
ENSG00000183726	TMEM50A
ENSG00000184007	PTP4A2
ENSG00000184454	NCMAP
ENSG00000185090	MANEAL
ENSG00000185436	IFNLR1
ENSG00000185668	POU3F1
ENSG00000186056	MATN1-AS1
ENSG00000186409	CCDC30
ENSG00000186501	TMEM222
ENSG00000187010	RHD
ENSG00000187513	GJA4
ENSG00000187801	ZFP69B
ENSG00000187815	ZFP69
ENSG00000188060	RAB42
ENSG00000188529	SRSF10
ENSG00000188672	RHCE
ENSG00000188782	CATSPER4
ENSG00000188786	MTF1
ENSG00000188800	TMCO2
ENSG00000188822	CNR2
ENSG00000188910	GJB3
ENSG00000189266	PNRC2
ENSG00000189280	GJB5
ENSG00000189433	GJB4
ENSG00000196182	STK40
ENSG00000196449	YRDC
ENSG00000197056	ZMYM1
ENSG00000197245	FAM110D
ENSG00000197273	GUCA2A
ENSG00000197880	MDS2
ENSG00000197982	C1orf122
ENSG00000197989	SNHG12
ENSG00000198492	YTHDF2
ENSG00000198746	GPATCH3
ENSG00000198754	OXCT2
ENSG00000198815	FOXJ3
ENSG00000198830	HMGN2
ENSG00000198974	MIR30E
ENSG00000199963	RNU6-605P
ENSG00000200087	SNORA73B
ENSG00000200254	RNU6-536P
ENSG00000200421	AC104336.1
ENSG00000200591	AC114489.1
ENSG00000201448	SNORA63C
ENSG00000201457	SNORA55
ENSG00000201542	AL160000.1
ENSG00000201868	AL590434.1
ENSG00000202222	AL033527.1
ENSG00000203325	AL445248.1
ENSG00000203620	AL354919.1
ENSG00000204060	FOXO6
ENSG00000204084	INPP5B
ENSG00000204138	PHACTR4
ENSG00000204160	ZDHHC18
ENSG00000204178	MACO1
ENSG00000204219	TCEA3
ENSG00000206767	RNU6-949P
ENSG00000206779	CR589951.1
ENSG00000206935	RNU6-514P
ENSG00000207095	RNU6-424P
ENSG00000207237	RNU6-110P
ENSG00000207508	RNU6-1237P
ENSG00000214114	MYCBP
ENSG00000214193	SH3D21
ENSG00000214812	AL137792.1
ENSG00000214973	CHCHD3P3
ENSG00000215381	AL109936.2
ENSG00000215895	HSPA5P1
ENSG00000215900	SELENOWP1
ENSG00000215905	AL590609.1
ENSG00000217897	HSPE1P8
ENSG00000220785	MTMR9LP
ENSG00000221216	RNU6ATAC27P
ENSG00000221539	SNORD99
ENSG00000222046	DCDC2B
ENSG00000222112	RN7SKP16
ENSG00000222282	RNU6-584P
ENSG00000223382	LINC01778
ENSG00000223583	AL513365.1
ENSG00000223589	AL139158.1
ENSG00000223944	AL353604.1
ENSG00000224066	AL049795.1
ENSG00000224183	SDHDP6
ENSG00000224311	AL590640.1
ENSG00000224409	AC114489.2
ENSG00000224592	MIR3659HG
ENSG00000225099	ATP6V1E1P1
ENSG00000225142	AC114495.1
ENSG00000225159	NPM1P39
ENSG00000225294	OSTCP2
ENSG00000225313	AL513327.1
ENSG00000225315	AL591178.1
ENSG00000225333	AL035404.1
ENSG00000225616	AL138785.2
ENSG00000225643	AL606491.1
ENSG00000225750	AL357500.1
ENSG00000225828	FAM229A
ENSG00000225886	AL445490.1
ENSG00000225891	DHDDS-AS1
ENSG00000226438	AL442071.1
ENSG00000226698	AL034380.1
ENSG00000226745	OAZ1P1
ENSG00000227050	AL512288.1
ENSG00000227278	AL603839.1
ENSG00000227311	AL031985.2
ENSG00000227312	AL445686.1
ENSG00000227409	ZMYM4-AS1
ENSG00000227416	AL929472.1
ENSG00000227527	AC096540.1
ENSG00000228060	PABPC4-AS1
ENSG00000228172	AL020996.1
ENSG00000228192	AL512353.1
ENSG00000228348	EFCAB14P1
ENSG00000228436	AL139260.1
ENSG00000228477	AL663070.2
ENSG00000228589	SPCS2P4
ENSG00000228634	AL136115.1
ENSG00000228943	AL137792.2
ENSG00000229044	AL451070.1
ENSG00000229106	BTBD6P1
ENSG00000229167	AC114488.1
ENSG00000229239	AL451000.1
ENSG00000229247	AL627313.1
ENSG00000229259	LRRC37A12P
ENSG00000229388	LINC01715
ENSG00000229447	AC114495.2
ENSG00000229528	AC119677.1
ENSG00000229607	AL137027.1
ENSG00000229820	CR391992.1
ENSG00000229985	AL590640.2
ENSG00000229994	RPL5P4
ENSG00000230023	LINC02800
ENSG00000230523	LINC01756
ENSG00000230955	AL929472.2
ENSG00000231296	AL050341.1
ENSG00000231344	AL020997.1
ENSG00000231468	PRDX3P2
ENSG00000231849	UBE2V2P4
ENSG00000231953	AL031432.1
ENSG00000232273	FTH1P1
ENSG00000232298	GRHL3-AS1
ENSG00000232335	AL354864.1
ENSG00000232482	AL357134.1
ENSG00000232862	AL138787.1
ENSG00000233246	PHC2-AS1
ENSG00000233399	LINC01648
ENSG00000233419	IFITM3P7
ENSG00000233427	AL009181.2
ENSG00000233478	AL031280.1
ENSG00000233621	LINC01137
ENSG00000233728	AL929472.3
ENSG00000233755	AL050344.1
ENSG00000233975	LINC02574
ENSG00000234512	TLR12P
ENSG00000234917	AC098484.2
ENSG00000235052	AL021154.1
ENSG00000235358	AC093151.2
ENSG00000235673	AL929472.4
ENSG00000235790	PEF1-AS1
ENSG00000235912	AL031729.1
ENSG00000236065	AL020995.1
ENSG00000236155	ZPLD2P
ENSG00000236274	AC004865.1
ENSG00000236335	AL161638.2
ENSG00000236528	AL033528.3
ENSG00000236782	AL391650.1
ENSG00000236810	ELOA-AS1
ENSG00000236876	TMSB4XP1
ENSG00000237429	BX293535.1
ENSG00000237749	AL034379.1
ENSG00000237899	AL031289.1
ENSG00000238063	LINC01685
ENSG00000238231	AL512288.2
ENSG00000238287	AL603839.3
ENSG00000238482	RNU6-1208P
ENSG00000238705	MIR1976
ENSG00000239106	AL445686.2
ENSG00000239636	AC004865.2
ENSG00000240374	RN7SL503P
ENSG00000240553	AL031428.1
ENSG00000240750	RN7SL559P
ENSG00000241169	FO393419.2
ENSG00000241188	RN7SL165P
